case,dataset,method,status,gt,est,vicon_status,evo_status,vicon_offset_est_s,evo_offset_s,vicon_ate_rmse_raw_m,vicon_ate_rmse_step3_m,evo_ape_raw_rmse_m,evo_ape_se3_rmse_m,vicon_improve_pct,evo_improve_pct,vicon_xcorr_peak,vicon_xcorr_psr,vicon_omega_improve_pct,vicon_matches_equivalent,evo_matches,vicon_run_dir,vicon_stdout_log,vicon_stderr_log,evo_sweep_evals,error
euroc_mav_V2_03_difficult_rovio,euroc_mav,rovio,ok,GT/euroc_mav/V2_03_difficult.txt,benchmark/euroc_mav/pose/rovio/V2_03_difficult/rovio_poses.txt,ok,ok,1.181,0.04999999999999982,1.733173326813379,0.16442798801385367,1.722883560274066,0.17154705467748482,90.51289415369223,90.04302678173465,0.9630115699105384,8.051171800673622,84.05434344870643,15120.0,1890.0,/home/yifu/vicon_ws/outputs/run_20260412_164434,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_03_difficult_rovio.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_03_difficult_rovio.stderr.log,102,
euroc_mav_MH_01_easy_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/MH_01_easy.txt,benchmark/euroc_mav/pose/svo_stereo/MH_01_easy/svo_poses.txt,ok,ok,-0.925,-0.15000000000000008,6.1852187653079795,0.12943189230797825,6.189487461664961,0.15245065852384695,97.90739992844033,97.5369421221218,0.9665124717007979,14.852009542780323,73.90188946798443,28236.0,3624.0,/home/yifu/vicon_ws/outputs/run_20260412_164440,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_01_easy_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_01_easy_svo_stereo.stderr.log,102,
euroc_mav_MH_02_easy_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/MH_02_easy.txt,benchmark/euroc_mav/pose/svo_stereo/MH_02_easy/svo_poses.txt,ok,ok,-0.064,-0.0500000000000001,5.817462111116324,0.06452070805105478,5.81750164734465,0.0767083825849864,98.8909131366966,98.68142052661065,0.9760077462772991,14.67203393131269,57.48903061840179,23988.0,3000.0,/home/yifu/vicon_ws/outputs/run_20260412_164455,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_02_easy_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_02_easy_svo_stereo.stderr.log,102,
euroc_mav_MH_03_medium_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/MH_03_medium.txt,benchmark/euroc_mav/pose/svo_stereo/MH_03_medium/svo_poses.txt,ok,ok,-0.34800000000000003,0.1499999999999999,5.852816331800195,0.17282928894581379,5.8511286868597,0.24498070770685057,97.04707479016984,95.81310340587827,0.9805942952410255,10.443088554367517,79.8172940303084,20990.0,2621.0,/home/yifu/vicon_ws/outputs/run_20260412_164505,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_03_medium_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_03_medium_svo_stereo.stderr.log,102,
euroc_mav_MH_04_difficult_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/MH_04_difficult.txt,benchmark/euroc_mav/pose/svo_stereo/MH_04_difficult/svo_poses.txt,ok,ok,-1.155,-20.0,15.579074673385746,0.15228499340539395,13.85220966531681,6.687873480852751,99.02250296247352,51.71980757988107,0.9414593256128351,13.496860106322973,75.51869168681401,15425.0,1599.0,/home/yifu/vicon_ws/outputs/run_20260412_164514,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_04_difficult_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_04_difficult_svo_stereo.stderr.log,92,
euroc_mav_MH_05_difficult_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/MH_05_difficult.txt,benchmark/euroc_mav/pose/svo_stereo/MH_05_difficult/svo_poses.txt,ok,ok,-1.485,-20.0,16.385095578420824,0.17059365627019868,14.683638854405276,6.960184194857643,98.9588485739695,52.59905079475564,0.9509990379209262,14.089225530411776,61.35863809217088,17317.0,1845.0,/home/yifu/vicon_ws/outputs/run_20260412_164519,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_05_difficult_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_MH_05_difficult_svo_stereo.stderr.log,92,
euroc_mav_V1_01_easy_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V1_01_easy.txt,benchmark/euroc_mav/pose/svo_stereo/V1_01_easy/svo_poses.txt,ok,ok,-1.05,-15.199999999999996,4.010746775608459,0.0414065246778092,3.0571627282139064,2.2262800830118668,98.96761059734276,27.17822762699964,0.9853609445757333,13.079451346595116,72.98655694166187,2874.0,2608.0,/home/yifu/vicon_ws/outputs/run_20260412_164526,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_01_easy_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_01_easy_svo_stereo.stderr.log,102,
euroc_mav_V1_02_medium_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V1_02_medium.txt,benchmark/euroc_mav/pose/svo_stereo/V1_02_medium/svo_poses.txt,ok,ok,0.994,-12.449999999999992,3.4879878801587565,0.07717997244946477,2.1571118396999576,1.8730566484661593,97.7872637433898,13.168310794361831,0.9723822925277714,7.654044470349494,89.33031052606125,13362.0,1441.0,/home/yifu/vicon_ws/outputs/run_20260412_164529,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_02_medium_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_02_medium_svo_stereo.stderr.log,102,
euroc_mav_V1_03_difficult_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V1_03_difficult.txt,benchmark/euroc_mav/pose/svo_stereo/V1_03_difficult/svo_poses.txt,ok,ok,-0.904,-20.0,3.264818713327811,0.0852555926885587,2.3682390442842314,1.7764321900120865,97.38865768131328,24.989320892256494,0.9765895421716084,8.969266798778463,87.65806062885713,16605.0,1713.0,/home/yifu/vicon_ws/outputs/run_20260412_164534,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_03_difficult_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V1_03_difficult_svo_stereo.stderr.log,92,
euroc_mav_V2_01_easy_svo_stereo,euroc_mav,svo_stereo,ok,GT/euroc_mav/V2_01_easy.txt,benchmark/euroc_mav/pose/svo_stereo/V2_01_easy/svo_poses.txt,ok,ok,-1.624,0.0,1.7565892087540527,0.05489060622811641,1.7568543225724609,0.052428974170479675,96.8751597723853,97.0157472080735,0.9548377345096957,11.07094705685439,-7.4510204117211805,17664.0,2208.0,/home/yifu/vicon_ws/outputs/run_20260412_164540,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_01_easy_svo_stereo.stdout.log,/home/yifu/vicon_ws/outputs/alignanything_harness/run_20260412_164321/logs/vicon/euroc_mav_V2_01_easy_svo_stereo.stderr.log,102,
